"labels(n)","n.valid_until","n.country_codes","n.countries","n.node_id","n.sourceID","n.address","n.name","n.jurisdiction_description","n.service_provider","n.jurisdiction","n.closed_date","n.incorporation_date","n.ibcRUC","n.type","n.status","n.company_type","n.note"
"[""Intermediary""]","The Panama Papers  data is current through 2015","ZAF","South Africa","11000001","Panama Papers","MICHAEL PAPAGEORGE; MR. 106 NICHOLSON STREET BROOKLYN PRETORIA 0002; GAUTENG (PWV) SOUTH AFRICA","MICHAEL PAPAGEORGE, MR.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","LIE","Liechtenstein","11000002","Panama Papers","","CORFIDUCIA ANSTALT","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","MCO","Monaco","11000003","Panama Papers","","DAVID, RONALD","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","BEL","Belgium","11000004","Panama Papers","","DE  BOUTSELIS, JEAN-PIERRE","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","LBN","Lebanon","11000005","Panama Papers","","THE LEVANT LAWYERS (TLL)","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","MCO","Monaco","11000006","Panama Papers","MS. ANNELIESE ABARTH 20 BOULEVARD PRINCESSE CHARLOTTE MONTE CARLO, MONACO","ABARTH, ANNELIESE","","","","","","","","UNRECOVERABLE ACCOUNTS","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000007","Panama Papers","","FIGEST CONSEIL S.A.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","LBN","Lebanon","11000008","Panama Papers","","MED ENERGY S.A.L.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","MYS","Malaysia","11000009","Panama Papers","TRUSTCO LABUAN SDN RHD (409273-A); UNIT 3; (1)  MAIN OFFICE TOWER; FINANCIAL PARK LABUAN JALAN MERDEKA; 87000 W.P. LABUAN MALAYSIA ATTENTION: LESLEY HAVILL","TRUSTCO LABUAN SDN BHD","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000010","Panama Papers","","SYL LOGIC SERVICES SA","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ESP","Spain","11000011","Panama Papers","","LAFEVER, RONALD L.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11000012","Panama Papers","MR. CHARLES BROUGH 61 SANDY LANE CHEAM; SURREY SM2 7EN ENGLAND; UNITED KINGDOM","BROUGH, CHARLES (MR.)","","","","","","","","INACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","JEY;GBR","Jersey;United Kingdom","11000013","Panama Papers","MOURANT & CO. SECRETARIES LIMITED P. O. BOX 87 22 GRENVILLE STREET ST. HELIER, JERSEY JE4 8PX CHANNEL ISLANDS","MOURANT & CO. SECRETARIES LIMITED","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","FRA","France","11000014","Panama Papers","","CREVON, GEORGES-ALAIN","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","LUX","Luxembourg","11000015","Panama Papers","FIDUCIAIRE FERNAND KARTHEISER & CIE 57 ROUTE D'ARLON L-1140 LUXEMBOURG","FIDUCIAIRE FERNAND KARTHEISER & CIE","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000016","Panama Papers","","FIDUCIAIRE A. RICHARD S.A.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","TWN","Taiwan","11000017","Panama Papers","HOLLYSIDE MANAGEMENT LIMITED PA-TEH ROAD; SEC 4. NO.765; 5F-1 TAIPE 105; TAIWAN","HOLLYSIDE MANAGEMENT LIMITED","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000018","Panama Papers","","FUDEM S.A.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000019","Panama Papers","","GBC GLOBAL BUSINESS CENTER SARL","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","EST","Estonia","11000020","Panama Papers","","GNIDIN, MIHHAIL","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000021","Panama Papers","","HAY, LIC. FRANK-OLIVIER","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","MEX","Mexico","11000022","Panama Papers","SR. MAURICIO CHERNITSKY MONTE PELVOUX 111 DESP. 102; LOMAS DE CHAPULTEPEC MEXICO DF 11000; MEXICO","CHERNITSKY, MAURICIO","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000023","Panama Papers","","LOMBARD ODIER DARRIER HENTSCH & CIE","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11000024","Panama Papers","","CLAYVARD LTD.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11000025","Panama Papers","","DETOLEDO, TEDI","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000026","Panama Papers","","ECU FINANCE S.A.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","FRA","France","11000027","Panama Papers","","EDMOND, JACQUES","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000028","Panama Papers","","SWISS BANCOR GROUP, SOCIETE FIDUCIAIRE S.A.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000029","Panama Papers","","FAVONA S.A.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000030","Panama Papers","","MR. ERIC GOZLAN","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11000031","Panama Papers","","FORVEST TRUST S.A.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ARG","Argentina","11000032","Panama Papers","","OVERSEAS FINANCIAL MANAGEMENT CO.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11000033","Panama Papers","","MALKINS SOLICITORS","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GGY;GBR","Guernsey;United Kingdom","11000034","Panama Papers","SECRETARIAL SERVICES LIMITED P.O. BOX 37 ST. ANNE'S HOUSE; VICTORIA STREET ALDERNEY; CHANNEL ISLANDS","SECRETARIAL SERVICES LIMITED","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","USA","United States","11000035","Panama Papers","MR. CARLOS E. HILL CITYWIDE MORTGAGE 141 SOUTH HARRISON ST. EAST ORANGE, NEW JERSEY 07108 U.S.A.","HILL, CARLOS E.","","","","","","","","SUSPENDED","",""
